snapshot_id,page,row,col,x,y,w,h,dark_ratio,figure_no_guess,file
1,12,1,1,78,236,862,951,0.074867,468,diagram_snapshots/diagram_0001_p012_r1c1.png
2,13,1,1,37,238,853,934,0.037,,diagram_snapshots/diagram_0002_p013_r1c1.png
3,14,1,1,72,204,323,78,0.872073,,diagram_snapshots/diagram_0003_p014_r1c1.png
4,14,1,2,407,204,251,78,0.870875,,diagram_snapshots/diagram_0004_p014_r1c2.png
5,14,1,3,670,204,305,78,0.856242,,diagram_snapshots/diagram_0005_p014_r1c3.png
6,14,2,1,72,294,323,311,0.877236,2,diagram_snapshots/diagram_0006_p014_r2c1.png
7,14,2,2,407,294,251,311,0.842802,,diagram_snapshots/diagram_0007_p014_r2c2.png
8,14,2,3,670,294,305,311,0.862696,,diagram_snapshots/diagram_0008_p014_r2c3.png
9,14,3,1,72,617,323,248,0.901528,4,diagram_snapshots/diagram_0009_p014_r3c1.png
10,14,3,2,407,617,251,248,0.874582,5,diagram_snapshots/diagram_0010_p014_r3c2.png
11,14,3,3,670,617,305,248,0.91802,,diagram_snapshots/diagram_0011_p014_r3c3.png
12,14,4,1,72,877,323,325,0.927173,,diagram_snapshots/diagram_0012_p014_r4c1.png
13,14,4,2,407,877,251,325,0.91555,,diagram_snapshots/diagram_0013_p014_r4c2.png
14,14,4,3,670,877,305,325,0.923692,10,diagram_snapshots/diagram_0014_p014_r4c3.png
15,15,1,1,44,232,865,954,0.143416,1,diagram_snapshots/diagram_0015_p015_r1c1.png
16,16,1,1,80,217,184,71,0.91113,,diagram_snapshots/diagram_0016_p016_r1c1.png
17,16,1,2,276,217,110,71,0.834955,,diagram_snapshots/diagram_0017_p016_r1c2.png
18,16,1,3,398,217,245,71,0.85674,,diagram_snapshots/diagram_0018_p016_r1c3.png
19,16,1,4,655,217,90,71,0.852739,,diagram_snapshots/diagram_0019_p016_r1c4.png
20,16,1,5,757,217,210,71,0.86613,,diagram_snapshots/diagram_0020_p016_r1c5.png
21,16,2,1,80,300,184,310,0.930365,,diagram_snapshots/diagram_0021_p016_r2c1.png
22,16,2,2,276,300,110,310,0.834135,,diagram_snapshots/diagram_0022_p016_r2c2.png
23,16,2,3,398,300,245,310,0.86237,,diagram_snapshots/diagram_0023_p016_r2c3.png
24,16,2,4,655,300,90,310,0.860789,,diagram_snapshots/diagram_0024_p016_r2c4.png
25,16,2,5,757,300,210,310,0.891582,,diagram_snapshots/diagram_0025_p016_r2c5.png
26,16,3,1,80,622,184,244,0.959885,4,diagram_snapshots/diagram_0026_p016_r3c1.png
27,16,3,2,276,622,110,244,0.893815,,diagram_snapshots/diagram_0027_p016_r3c2.png
28,16,3,3,398,622,245,244,0.881733,5,diagram_snapshots/diagram_0028_p016_r3c3.png
29,16,3,4,655,622,90,244,0.91102,,diagram_snapshots/diagram_0029_p016_r3c4.png
30,16,3,5,757,622,210,244,0.934817,,diagram_snapshots/diagram_0030_p016_r3c5.png
31,16,4,1,80,878,184,320,0.960122,,diagram_snapshots/diagram_0031_p016_r4c1.png
32,16,4,2,276,878,110,320,0.905455,,diagram_snapshots/diagram_0032_p016_r4c2.png
33,16,4,3,398,878,245,320,0.905918,20,diagram_snapshots/diagram_0033_p016_r4c3.png
34,16,4,4,655,878,90,320,0.929965,,diagram_snapshots/diagram_0034_p016_r4c4.png
35,16,4,5,757,878,210,320,0.95744,,diagram_snapshots/diagram_0035_p016_r4c5.png
36,17,1,1,38,220,876,976,0.078994,11,diagram_snapshots/diagram_0036_p017_r1c1.png
37,18,1,1,85,222,561,70,0.809931,,diagram_snapshots/diagram_0037_p018_r1c1.png
38,18,1,2,658,222,310,70,0.836406,,diagram_snapshots/diagram_0038_p018_r1c2.png
39,18,2,1,85,304,561,304,0.804355,,diagram_snapshots/diagram_0039_p018_r2c1.png
40,18,2,2,658,304,310,304,0.843591,,diagram_snapshots/diagram_0040_p018_r2c2.png
41,18,3,1,85,620,561,243,0.856371,25,diagram_snapshots/diagram_0041_p018_r3c1.png
42,18,3,2,658,620,310,243,0.925421,,diagram_snapshots/diagram_0042_p018_r3c2.png
43,18,4,1,85,875,561,318,0.869937,,diagram_snapshots/diagram_0043_p018_r4c1.png
44,18,4,2,658,875,310,318,0.915683,30,diagram_snapshots/diagram_0044_p018_r4c2.png
45,19,1,1,48,216,874,72,0.049136,,diagram_snapshots/diagram_0045_p019_r1c1.png
46,19,2,1,48,300,874,895,0.095716,231,diagram_snapshots/diagram_0046_p019_r2c1.png
47,20,1,1,76,204,318,73,0.835315,,diagram_snapshots/diagram_0047_p020_r1c1.png
48,20,1,2,406,204,257,73,0.838708,,diagram_snapshots/diagram_0048_p020_r1c2.png
49,20,1,3,675,204,299,73,0.839327,,diagram_snapshots/diagram_0049_p020_r1c3.png
50,20,2,1,76,289,318,314,0.852892,,diagram_snapshots/diagram_0050_p020_r2c1.png
51,20,2,2,406,289,257,314,0.796439,,diagram_snapshots/diagram_0051_p020_r2c2.png
52,20,2,3,675,289,299,314,0.840455,,diagram_snapshots/diagram_0052_p020_r2c3.png
53,20,3,1,76,615,318,255,0.880441,2,diagram_snapshots/diagram_0053_p020_r3c1.png
54,20,3,2,406,615,257,255,0.820508,35,diagram_snapshots/diagram_0054_p020_r3c2.png
55,20,3,3,675,615,299,255,0.922369,32,diagram_snapshots/diagram_0055_p020_r3c3.png
56,20,4,1,76,882,318,321,0.899734,37,diagram_snapshots/diagram_0056_p020_r4c1.png
57,20,4,2,406,882,257,321,0.868916,38,diagram_snapshots/diagram_0057_p020_r4c2.png
58,20,4,3,675,882,299,321,0.927943,39,diagram_snapshots/diagram_0058_p020_r4c3.png
59,21,1,1,49,214,875,72,0.048317,,diagram_snapshots/diagram_0059_p021_r1c1.png
60,21,2,1,49,298,875,894,0.148006,31,diagram_snapshots/diagram_0060_p021_r2c1.png
